City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Dayong,CN,25.0209,118.2898,62.46,93,100,2.71,overcast clouds
288,Nyurba,RU,63.2842,118.3319,47.44,50,89,1.16,overcast clouds
289,Porbandar,IN,21.6422,69.6093,84.88,74,5,13.98,clear sky
290,Panacan,PH,9.2463,118.4082,85.19,74,36,4.94,scattered clouds
291,Capinzal,BR,-27.3436,-51.6119,59.83,99,100,1.05,light rain
292,Muros,ES,42.7762,-9.0603,63.84,77,98,18.14,overcast clouds
293,Viransehir,TR,37.2353,39.7631,67.95,52,100,11.36,overcast clouds
294,Saint George,US,37.1041,-113.5841,84.79,8,0,5.75,clear sky
295,Maniitsoq,GL,65.4167,-52.9,26.76,61,41,8.1,scattered clouds
296,Shitanjing,CN,39.2342,106.3439,59.11,11,0,12.06,clear sky
297,Plainview,US,40.7765,-73.4673,63.99,86,100,5.75,mist
298,Itarema,BR,-2.9248,-39.9167,77.95,90,56,10.63,broken clouds
299,Socorro,US,31.6546,-106.3033,87.19,15,2,0.87,clear sky
300,Kon Tum,VN,14.35,108.0,86.27,63,99,3.83,overcast clouds
301,Vestmannaeyjar,IS,63.4427,-20.2734,46.8,91,100,21.09,light rain
302,Benjamin Constant,BR,-4.3831,-70.0311,75.25,100,0,2.3,clear sky
303,Berlevag,NO,70.8578,29.0864,39.0,81,89,0.0,overcast clouds
304,Krasnoselkup,RU,65.7,82.4667,60.28,52,14,10.18,few clouds
305,Neijiang,CN,29.5835,105.0622,56.23,91,100,10.42,overcast clouds
306,Yeppoon,AU,-23.1333,150.7333,82.18,77,28,6.78,scattered clouds
307,Monticello,US,45.3055,-93.7941,62.55,50,0,5.75,clear sky
308,Angren,UZ,41.0167,70.1436,60.66,66,97,0.83,overcast clouds
309,Haines Junction,CA,60.7522,-137.5108,36.79,98,100,5.35,moderate rain
310,Dhidhdhoo,MV,6.8833,73.1,82.96,78,100,21.32,overcast clouds
311,Doha,QA,25.2867,51.5333,82.38,47,0,11.5,clear sky
312,Houston,US,29.7633,-95.3633,82.38,72,40,11.5,scattered clouds
313,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,100,8.05,overcast clouds
314,Morris,US,40.8334,-74.5329,63.48,90,100,1.99,overcast clouds
315,Norman Wells,CA,65.282,-126.8329,39.54,90,100,8.68,overcast clouds
316,Oyama,JP,36.3,139.8,64.29,60,78,7.83,broken clouds
317,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,77.38,66,99,2.42,overcast clouds
318,Clyde River,CA,70.4692,-68.5914,13.71,76,41,4.18,scattered clouds
319,Castanos,MX,26.7833,-101.4167,87.35,39,12,3.22,few clouds
320,Luanda,AO,-8.8368,13.2343,73.44,92,91,5.79,overcast clouds
321,Pochutla,MX,15.7432,-96.4661,82.81,70,65,5.12,broken clouds
322,Batagay-Alyta,RU,67.8006,130.4114,18.46,60,56,2.48,broken clouds
323,Kamaishi,JP,39.2667,141.8833,60.39,49,100,9.93,overcast clouds
324,Bathsheba,BB,13.2167,-59.5167,79.25,77,1,16.28,clear sky
325,Carahue,CL,-38.7,-73.1667,43.39,86,0,2.95,clear sky
326,Neiba,DO,18.5,-71.4167,75.31,82,100,3.4,overcast clouds
327,Brokopondo,SR,4.75,-55.1667,76.33,92,100,5.84,overcast clouds
328,Laguna,US,38.421,-121.4238,86.29,20,0,8.05,clear sky
329,Grado,ES,43.388,-6.0743,63.68,76,0,3.44,clear sky
330,Turukhansk,RU,65.8167,87.9833,60.73,55,95,8.25,overcast clouds
331,Chumikan,RU,54.7183,135.315,41.02,80,100,13.13,overcast clouds
332,Solnechnyy,RU,50.7214,136.6319,48.09,51,100,8.72,overcast clouds
333,Cotonou,BJ,6.3654,2.4183,81.01,81,45,7.99,scattered clouds
